
Node Current Mismatch Report


Bus,                   Node, "Current Sum (A)", "%error", "Max Current (A)"
"System Ground"       ,  0,    0.06271,         0.011187,  560.60711
"sourcebus" ..........,  1,    0.00000,         0.000000,   59.79069
"   -"                ,  2,    0.00000,         0.000000,   54.64855
"   -"                ,  3,    0.00000,         0.000000,   59.40557
"_hvmv_sub_lsb" ......,  1,    0.00000,         0.000000,  553.68603
"   -"                ,  2,    0.00000,         0.000000,  529.57541
"   -"                ,  3,    0.00000,         0.000000,  500.79968
"hvmv_sub_48332" .....,  1,    0.00000,         0.000000,  553.68603
"   -"                ,  2,    0.00000,         0.000000,  529.57674
"   -"                ,  3,    0.00000,         0.000001,  500.79968
"r20185" .............,  1,    0.00009,         0.000016,  553.66489
"   -"                ,  2,    0.00024,         0.000044,  529.57674
"   -"                ,  3,    0.00035,         0.000070,  500.32515
"n1136663" ...........,  1,    0.00735,         0.002821,  260.57289
"   -"                ,  2,    0.01728,         0.007153,  241.64516
"   -"                ,  3,    0.00700,         0.003538,  197.69795
"m1026695" ...........,  1,    0.00197,         0.002656,   74.33207
"   -"                ,  2,    0.00312,         0.008562,   36.41858
"   -"                ,  3,    0.00234,         0.004877,   47.98848
"m1142843" ...........,  1,    0.00037,         0.000070,  524.81162
"   -"                ,  2,    0.00092,         0.000179,  514.42332
"   -"                ,  3,    0.00126,         0.000288,  438.72195
"regxfmr_190_7361" ...,  1,    0.00029,         0.000278,  104.08846
"   -"                ,  2,    0.00065,         0.000561,  115.22567
"   -"                ,  3,    0.00089,         0.000739,  120.77879
"m1125994" ...........,  1,    0.00033,         0.000083,  399.43089
"   -"                ,  2,    0.00058,         0.000155,  377.51273
"   -"                ,  3,    0.00055,         0.000215,  256.15423
"r42247" .............,  1,    0.00023,         0.000042,  538.54995
"   -"                ,  2,    0.00036,         0.000069,  519.80422
"   -"                ,  3,    0.00030,         0.000065,  454.03706
"190_8593" ...........,  1,    0.00011,         0.000042,  263.38263
"   -"                ,  2,    0.00000,         0.000000,  241.64516
"   -"                ,  3,    0.00011,         0.000053,  200.04169
"m1108378" ...........,  1,    0.00023,         0.000738,   30.52020
"   -"                ,  2,    0.00193,         0.004713,   40.93208
"   -"                ,  3,    0.00031,         0.002700,   11.43188
"221_282819" .........,  1,    0.00034,         0.001850,   18.33777
"regxfmr_190_8581" ...,  1,    0.00045,         0.000127,  351.21921
"   -"                ,  2,    0.00019,         0.000060,  324.32335
"   -"                ,  3,    0.00010,         0.000046,  224.83196
"190_8581" ...........,  1,    0.00019,         0.000064,  302.49952
"   -"                ,  2,    0.00113,         0.000376,  300.28577
"   -"                ,  3,    0.00057,         0.000260,  220.44662
"r42246" .............,  1,    0.00061,         0.000207,  295.61141
"   -"                ,  2,    0.00355,         0.001253,  283.41204
"   -"                ,  3,    0.00044,         0.000213,  204.37920
"m1026657" ...........,  1,    0.00084,         0.003777,   22.31179
"regxfmr_190_8593" ...,  1,    0.00007,         0.000024,  286.84489
"   -"                ,  2,    0.00011,         0.000045,  247.55763
"   -"                ,  3,    0.00000,         0.000000,  201.29196
"190_7361" ...........,  1,    0.00024,         0.000308,   79.46092
"   -"                ,  2,    0.00058,         0.000630,   92.58218
"   -"                ,  3,    0.00125,         0.001496,   83.77613
"r18242" .............,  1,    0.00124,         0.001819,   68.32056
"   -"                ,  2,    0.00440,         0.005343,   82.30834
"   -"                ,  3,    0.00124,         0.002434,   50.80199
"hvmv_sub_hsb" .......,  1,    0.00000,         0.000000,   59.79069
"   -"                ,  2,    0.00000,         0.000000,   54.64855
"   -"                ,  3,    0.00000,         0.000000,   59.40557
"regxfmr_hvmv_sub_lsb",  1,    0.00000,         0.000000,  560.60711
"   -"                ,  2,    0.00000,         0.000000,  539.50495
"   -"                ,  3,    0.00000,         0.000000,  503.92968
