
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  6.836E-007  9.805E-007 1.319E-006 1.892E-006
_hvmv_sub_lsb            7.323      1.017   0.006357    0.08681    0.0128    0.1748
hvmv_sub_48332           7.323      1.017   0.006357    0.08681    0.0128    0.1748
r20185                   7.245      1.006    0.01045     0.1442   0.02133    0.2945
n1136663                 6.375     0.8855     0.1117      1.752    0.2301     3.609
m1026695                 6.219     0.8638     0.1157       1.86    0.2376     3.821
m1142843                 6.961     0.9669     0.0306     0.4396   0.04844    0.6959
regxfmr_190_7361         6.558     0.9108    0.01923     0.2932   0.08917      1.36
m1125994                 6.793     0.9435    0.05354     0.7882    0.1008     1.484
r42247                   6.984     0.9701    0.02889     0.4136    0.0452    0.6472
190_8593                 6.428     0.8929     0.1066      1.658    0.2237      3.48
m1108378                 6.782      0.942    0.05673     0.8365    0.1063     1.567
221_282819               6.694     0.9298          0          0         0         0
regxfmr_190_8581          6.67     0.9264     0.0729      1.093    0.1455     2.181
190_8581                 6.669     0.9263    0.07294      1.094    0.1455     2.182
r42246                   6.491     0.9016     0.1005      1.548    0.2165     3.336
m1026657                 5.918      0.822          0          0         0         0
regxfmr_190_8593         6.429      0.893     0.1065      1.657    0.2237     3.479
190_7361                 6.557     0.9108    0.01921     0.2929   0.08918      1.36
r18242                   6.386      0.887    0.04631     0.7252    0.1035      1.62
hvmv_sub_hsb             69.39      1.045   0.009664    0.01393   0.01946   0.02805
regxfmr_hvmv_sub_lsb     7.324      1.017   0.006346    0.08665   0.01278    0.1745
