
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  6.983E-007  1.002E-006 1.282E-006 1.839E-006
_hvmv_sub_lsb            7.542      1.048   0.006473    0.08583   0.01244    0.1649
hvmv_sub_48332           7.542      1.048   0.006473    0.08583   0.01244    0.1649
m1009763                 6.559      0.911     0.1627       2.48    0.2992     4.562
l2673322                 6.453     0.8963          0          0         0         0
m1069148                 6.973     0.9685          0          0         0         0
l2673309                 6.973     0.9685          0          0         0         0
m1069588                 6.742     0.9365          0          0         0         0
l2804270                 6.742     0.9365          0          0         0         0
m3036164                 6.235      0.866          0          0         0         0
l2935553                 6.234     0.8658          0          0         0         0
m1209749                 7.408      1.029          0          0         0         0
l2748840                 7.408      1.029          0          0         0         0
m1108264                 6.863     0.9532          0          0         0         0
m1108263                 6.862     0.9532          0          0         0         0
l3085398                 6.591     0.9155     0.1547      2.347     0.288      4.37
m1026891                 6.588      0.915     0.1556      2.361    0.2888     4.384
l3216367                 6.602      0.917     0.1242      1.881    0.2312     3.502
m1069468                   6.6     0.9168     0.1241      1.881    0.2314     3.505
m1142800                  7.14     0.9918          0          0         0         0
m1142799                  7.14     0.9917          0          0         0         0
m1047592                 6.686     0.9287     0.1372      2.052    0.2508     3.751
p827512                  7.034     0.9769          0          0         0         0
m1047339                 6.824     0.9479    0.06646     0.9739    0.1091     1.599
p895104                  6.834     0.9492          0          0         0         0
m1026915                 6.591     0.9155     0.1543       2.34     0.288     4.369
m1026920                  6.59     0.9153     0.1543      2.342    0.2882     4.373
n1138596                 6.368     0.8846          0          0         0         0
l3254207                 6.368     0.8845          0          0         0         0
m1069464                 6.598     0.9165      0.124      1.879    0.2316     3.509
p873787                  6.485     0.9007          0          0         0         0
n1144665                 6.696     0.9301     0.1302      1.945    0.2389     3.568
m1047515                 6.692     0.9294     0.1301      1.945    0.2387     3.567
n1137002                 6.388     0.8873          0          0         0         0
m1047707                 6.388     0.8873          0          0         0         0
l2729406                 7.065     0.9813          0          0         0         0
l2897768                 7.064     0.9812          0          0         0         0
l3649301                   6.4     0.8889          0          0         0         0
l3649302                   6.4     0.8889          0          0         0         0
l2970842                 6.886     0.9565          0          0         0         0
m1089113                 6.885     0.9563          0          0         0         0
m1047312                 6.798     0.9442    0.07254      1.067    0.1146     1.685
p893163                    6.8     0.9445          0          0         0         0
l2822871                 6.636     0.9218     0.1482      2.233    0.2713     4.088
m1026872                 6.634     0.9215     0.1485      2.238     0.272     4.099
m1026312                 6.497     0.9024          0          0         0         0
l2973163                 6.494      0.902          0          0         0         0
l3728038                 6.389     0.8874          0          0         0         0
l3728039                 6.388     0.8873          0          0         0         0
m1069567                 6.755     0.9383          0          0         0         0
m1069582                 6.746      0.937          0          0         0         0
n1140830                 6.266     0.8703          0          0         0         0
l3216351                 6.266     0.8703          0          0         0         0
l2952007                 7.365      1.023          0          0         0         0
l2861158                 7.364      1.023          0          0         0         0
n1140827                 6.574     0.9131     0.1309      1.991    0.2482     3.775
m1026726                 6.574     0.9131     0.1309      1.991    0.2482     3.775
l2730106                 7.097     0.9858    0.07986      1.125    0.1338     1.885
n1142099                 7.095     0.9855    0.08014      1.129    0.1344     1.894
m1026658                 6.568     0.9122     0.1291      1.966    0.2445     3.723
l3172805                 6.264     0.8701          0          0         0         0
p895112                  7.287      1.012          0          0         0         0
l3048962                 7.287      1.012          0          0         0         0
l2991914                 6.655     0.9244     0.1292      1.942     0.238     3.576
m1047503                 6.653     0.9241     0.1292      1.942    0.2381      3.58
m1047751                 6.327     0.8788          0          0         0         0
l2973154                 6.327     0.8788          0          0         0         0
l3010565                  6.97     0.9681          0          0         0         0
l2897775                 6.969      0.968          0          0         0         0
m1125955                 7.374      1.024          0          0         0         0
m1125957                 7.374      1.024          0          0         0         0
m1069640                 6.719     0.9332          0          0         0         0
l2804269                 6.718     0.9331          0          0         0         0
m1026702                 6.589     0.9152     0.1312      1.991    0.2476     3.757
n1139551                 6.583     0.9144     0.1316      1.999    0.2488     3.779
n1136355                 6.796     0.9439          0          0         0         0
l2783231                 6.789     0.9429          0          0         0         0
l2748143                 6.707     0.9316          0          0         0         0
l3251854                 6.707     0.9316          0          0         0         0
m1069610                  6.73     0.9348          0          0         0         0
m1069600                  6.73     0.9347          0          0         0         0
m1069424                 6.583     0.9143     0.1231       1.87    0.2335     3.547
l2935549                 6.581      0.914      0.123      1.869    0.2339     3.555
p895089                  7.232      1.004          0          0         0         0
l3235242                 7.231      1.004          0          0         0         0
m1026795                 6.633     0.9214     0.1292      1.948    0.2398     3.615
n1140522                 6.957     0.9663          0          0         0         0
l3030199                 7.213      1.002    0.02337     0.3239   0.06095     0.845
m1125934                 7.213      1.002    0.02328     0.3228   0.06155    0.8534
m1069189                 6.939     0.9639    0.02931     0.4224   0.08797     1.268
l2860487                 6.988     0.9707          0          0         0         0
221_312488               7.154     0.9937    0.07013     0.9802    0.1128     1.577
m1089183                 7.154     0.9937    0.07013     0.9802    0.1128     1.577
m1108464                  7.07      0.982          0          0         0         0
l3102286                  7.07      0.982          0          0         0         0
f739845                  6.782      0.942    0.07624      1.124    0.1207     1.779
293471                   6.782      0.942    0.07624      1.124    0.1207     1.779
p827499                  6.374     0.8854          0          0         0         0
n1139254                 6.374     0.8854          0          0         0         0
m1026657                 6.261     0.8696          0          0         0         0
m1026656                 6.261     0.8696          0          0         0         0
m1108299                 7.111     0.9877          0          0         0         0
m1108300                 7.111     0.9877          0          0         0         0
