
Node Current Mismatch Report


Bus,                   Node, "Current Sum (A)", "%error", "Max Current (A)"
"System Ground"       ,  0,    0.00004,         0.000098,   44.07347
"sourcebus" ..........,  1,    0.00000,         0.000000,    4.77895
"   -"                ,  2,    0.00000,         0.000000,    4.76427
"   -"                ,  3,    0.00000,         0.000000,    4.77882
"l2801909" ...........,  1,    0.00000,         0.000000,   44.07306
"   -"                ,  2,    0.00000,         0.000000,   44.06419
"   -"                ,  3,    0.00000,         0.000000,   44.07181
"r20185" .............,  1,    0.00000,         0.000000,   44.06601
"   -"                ,  2,    0.00000,         0.000000,   44.06419
"   -"                ,  3,    0.00000,         0.000000,   44.06444
"_hvmv_sub_lsb" ......,  1,    0.00000,         0.000000,   44.07347
"   -"                ,  2,    0.00000,         0.000000,   43.93807
"   -"                ,  3,    0.00000,         0.000000,   44.07225
"hvmv_sub_48332" .....,  1,    0.00000,         0.000000,   44.07347
"   -"                ,  2,    0.00000,         0.000000,   43.93807
"   -"                ,  3,    0.00000,         0.000000,   44.07225
"hvmv_sub_hsb" .......,  1,    0.00000,         0.000000,    4.77895
"   -"                ,  2,    0.00000,         0.000000,    4.76427
"   -"                ,  3,    0.00000,         0.000000,    4.77882
"regxfmr_hvmv_sub_lsb",  1,    0.00000,         0.000000,   44.07347
"   -"                ,  2,    0.00000,         0.000000,   43.93807
"   -"                ,  3,    0.00000,         0.000000,   44.07225
"x2801909b" ..........,  1,    0.00015,         0.000879,   16.65275
"   -"                ,  2,    0.00015,         0.000879,   16.65275
