
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"sourcebus.1"      ,    0.00000,  6.97150E+0004,  6.63953E+0004
"sourcebus.2"      ,    0.00000,  6.97150E+0004,  6.63953E+0004
"sourcebus.3"      ,    0.00000,  6.97150E+0004,  6.63953E+0004
"_hvmv_sub_lsb.1"  ,    0.00001,  7.53838E+0003,  7.19956E+0003
"_hvmv_sub_lsb.2"  ,    0.00000,  7.53873E+0003,  7.19956E+0003
"_hvmv_sub_lsb.3"  ,    0.00000,  7.56206E+0003,  7.19956E+0003
"hvmv_sub_48332.1" ,    0.00001,  7.53838E+0003,  7.19956E+0003
"hvmv_sub_48332.2" ,    0.00000,  7.53873E+0003,  7.19956E+0003
"hvmv_sub_48332.3" ,    0.00000,  7.56206E+0003,  7.19956E+0003
"m1009763.2"       ,    0.00006,  7.68043E+0003,  7.19956E+0003
"l2673322.2"       ,    0.00006,  7.68031E+0003,  7.19956E+0003
"m1069148.3"       ,    0.00001,  7.38262E+0003,  7.19956E+0003
"l2673309.3"       ,    0.00001,  7.38233E+0003,  7.19956E+0003
"m1069588.2"       ,    0.00005,  7.28801E+0003,  7.19956E+0003
"l2804270.2"       ,    0.00005,  7.28797E+0003,  7.19956E+0003
"m3036164.2"       ,    0.00006,  7.55289E+0003,  7.19956E+0003
"l2935553.2"       ,    0.00006,  7.55149E+0003,  7.19956E+0003
"m1209749.2"       ,    0.00001,  7.38032E+0003,  7.19956E+0003
"l2748840.2"       ,    0.00001,  7.38010E+0003,  7.19956E+0003
"m1108264.2"       ,    0.00003,  7.38441E+0003,  7.19956E+0003
"m1108263.2"       ,    0.00003,  7.38400E+0003,  7.19956E+0003
"l3085398.1"       ,    0.00010,  7.14461E+0003,  7.19956E+0003
"l3085398.2"       ,    0.00006,  7.72170E+0003,  7.19956E+0003
"l3085398.3"       ,    0.00001,  7.48940E+0003,  7.19956E+0003
"m1026891.1"       ,    0.00010,  7.14126E+0003,  7.19956E+0003
"m1026891.2"       ,    0.00006,  7.71572E+0003,  7.19956E+0003
"m1026891.3"       ,    0.00001,  7.48821E+0003,  7.19956E+0003
"l3216367.1"       ,    0.00010,  7.21584E+0003,  7.19956E+0003
"l3216367.2"       ,    0.00006,  7.68364E+0003,  7.19956E+0003
"l3216367.3"       ,    0.00001,  7.42682E+0003,  7.19956E+0003
"m1069468.1"       ,    0.00010,  7.21518E+0003,  7.19956E+0003
"m1069468.2"       ,    0.00006,  7.68153E+0003,  7.19956E+0003
"m1069468.3"       ,    0.00001,  7.42600E+0003,  7.19956E+0003
