
CONTROLLED TRANSFORMER TAP SETTINGS

Name            Tap      Min       Max     Step  Position

vreg2_a       1.03125  0.90000  1.10000  0.00625     5
vreg2_b       1.02500  0.90000  1.10000  0.00625     4
vreg2_c       1.01250  0.90000  1.10000  0.00625     2
vreg3_a       1.03125  0.90000  1.10000  0.00625     5
vreg3_b       1.01875  0.90000  1.10000  0.00625     3
vreg3_c       1.01250  0.90000  1.10000  0.00625     2
vreg4_a       1.01250  0.90000  1.10000  0.00625     2
vreg4_b       1.01875  0.90000  1.10000  0.00625     3
vreg4_c       1.02500  0.90000  1.10000  0.00625     4
feeder_rega   1.00000  0.90000  1.10000  0.00625     0
feeder_regb   1.00000  0.90000  1.10000  0.00625     0
feeder_regc   1.00000  0.90000  1.10000  0.00625     0
